epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.1154,1.5353,2.31519,0.01831,0.88322,0.80417,0.91436,0.72049,0.82296,0.62407,0.01054,0.000471041,0.000471041,0.000471041
2,84.157,1.21758,0.82419,0.0139,0.94275,0.91954,0.96534,0.78279,0.77573,0.37262,0.00993,0.000937995,0.000937995,0.000937995
3,110.109,1.14987,0.71145,0.01282,0.92665,0.94063,0.96244,0.78161,0.7356,0.38714,0.0095,0.00139552,0.00139552,0.00139552
4,140.61,1.16403,0.71803,0.01334,0.88729,0.90843,0.94925,0.7354,0.86364,0.46243,0.01146,0.00138656,0.00138656,0.00138656
5,169.928,1.12572,0.64631,0.01255,0.93872,0.93013,0.96667,0.77133,0.79228,0.40194,0.00998,0.00137241,0.00137241,0.00137241
6,199.869,1.11664,0.64519,0.01272,0.89831,0.91017,0.9581,0.75518,0.82969,0.42966,0.01076,0.00135826,0.00135826,0.00135826
7,226.573,1.07471,0.61915,0.01212,0.95959,0.90092,0.96055,0.80187,0.69387,0.37906,0.00867,0.00134412,0.00134412,0.00134412
8,247.778,1.04951,0.59301,0.01175,0.94464,0.91737,0.96522,0.80704,0.68069,0.36154,0.00849,0.00132997,0.00132997,0.00132997
9,275.884,1.03702,0.55708,0.0114,0.97388,0.93073,0.97775,0.7885,0.75211,0.3242,0.00968,0.00131582,0.00131582,0.00131582
10,300.978,1.01066,0.54452,0.01135,0.9492,0.91412,0.9645,0.77984,0.7475,0.39222,0.00933,0.00130168,0.00130168,0.00130168
11,329.285,0.9902,0.54029,0.01104,0.94929,0.93932,0.9757,0.81461,0.69046,0.3281,0.00866,0.00128753,0.00128753,0.00128753
12,352.003,0.95744,0.52127,0.01081,0.94954,0.94087,0.97547,0.82282,0.64537,0.29893,0.00807,0.00127338,0.00127338,0.00127338
13,377.362,0.963,0.52263,0.01081,0.96027,0.95154,0.9737,0.82915,0.64579,0.29694,0.00805,0.00125923,0.00125923,0.00125923
14,399.763,0.93987,0.49854,0.01055,0.96141,0.93718,0.97087,0.82032,0.64452,0.32354,0.0082,0.00124509,0.00124509,0.00124509
15,420.939,0.91183,0.48598,0.01027,0.96748,0.95528,0.97688,0.82603,0.66421,0.29644,0.00839,0.00123094,0.00123094,0.00123094
16,442.068,0.90466,0.4851,0.01028,0.95953,0.94536,0.97307,0.82943,0.61155,0.30945,0.00742,0.00121679,0.00121679,0.00121679
17,463.645,0.89433,0.46045,0.00998,0.97282,0.94131,0.97604,0.83463,0.60604,0.29593,0.00736,0.00120265,0.00120265,0.00120265
18,485.576,0.86905,0.45758,0.00956,0.95467,0.96091,0.97638,0.8354,0.60411,0.30381,0.00732,0.0011885,0.0011885,0.0011885
19,507.092,0.86439,0.44766,0.00955,0.94216,0.96902,0.97906,0.83475,0.63115,0.29413,0.00769,0.00117435,0.00117435,0.00117435
20,528.007,0.8652,0.44501,0.00945,0.95739,0.94501,0.97617,0.84243,0.59526,0.32454,0.0072,0.00116021,0.00116021,0.00116021
21,549.36,0.85339,0.43973,0.0094,0.96505,0.94919,0.97877,0.84086,0.5897,0.29428,0.00722,0.00114606,0.00114606,0.00114606
22,570.193,0.83938,0.42819,0.00932,0.9689,0.94943,0.97757,0.83669,0.61446,0.29308,0.00757,0.00113191,0.00113191,0.00113191
23,590.721,0.83837,0.4293,0.00924,0.95301,0.95325,0.97336,0.83882,0.5974,0.30435,0.00749,0.00111776,0.00111776,0.00111776
24,611.698,0.84382,0.42538,0.0094,0.94833,0.94246,0.97229,0.83405,0.61511,0.3317,0.00751,0.00110362,0.00110362,0.00110362
25,632.301,0.82333,0.42082,0.00903,0.97222,0.95871,0.97799,0.84017,0.59976,0.27121,0.00735,0.00108947,0.00108947,0.00108947
26,652.88,0.81302,0.4104,0.0091,0.95498,0.96013,0.97304,0.84286,0.58428,0.30037,0.00707,0.00107532,0.00107532,0.00107532
27,673.953,0.80489,0.39671,0.00902,0.95275,0.9602,0.97653,0.83687,0.58907,0.30159,0.00731,0.00106118,0.00106118,0.00106118
28,694.357,0.80315,0.40926,0.00892,0.958,0.94425,0.97175,0.83802,0.58424,0.30438,0.00729,0.00104703,0.00104703,0.00104703
29,714.848,0.78002,0.4008,0.00865,0.96069,0.95462,0.97197,0.84366,0.5718,0.30541,0.00697,0.00103288,0.00103288,0.00103288
30,735.678,0.77633,0.40125,0.00845,0.96525,0.96306,0.97952,0.84069,0.60018,0.28399,0.00728,0.00101873,0.00101873,0.00101873
31,758.794,0.78253,0.38296,0.00861,0.97178,0.95297,0.97068,0.84,0.58217,0.29474,0.00707,0.00100459,0.00100459,0.00100459
32,786.84,0.76607,0.3739,0.00844,0.97852,0.96389,0.97846,0.84988,0.55694,0.27919,0.00688,0.00099044,0.00099044,0.00099044
33,816.001,0.7727,0.37596,0.00863,0.95458,0.97242,0.97604,0.83602,0.61121,0.28252,0.00746,0.000976293,0.000976293,0.000976293
34,849.598,0.73568,0.35026,0.00798,0.9703,0.96594,0.98009,0.85119,0.56964,0.2735,0.00698,0.000962146,0.000962146,0.000962146
35,875.243,0.74834,0.37481,0.0082,0.95556,0.95631,0.9783,0.85879,0.5501,0.28829,0.00659,0.000947999,0.000947999,0.000947999
36,895.776,0.74454,0.36135,0.00811,0.96495,0.95984,0.97549,0.84288,0.58229,0.30845,0.007,0.000933851,0.000933851,0.000933851
37,915.972,0.73287,0.35706,0.00811,0.97538,0.96414,0.97452,0.84494,0.57441,0.28257,0.00702,0.000919704,0.000919704,0.000919704
38,939.071,0.71822,0.34295,0.00786,0.95791,0.96969,0.97582,0.84353,0.5694,0.29411,0.00701,0.000905557,0.000905557,0.000905557
39,961.897,0.72288,0.35364,0.00778,0.96684,0.95953,0.97939,0.85269,0.56713,0.2707,0.00703,0.00089141,0.00089141,0.00089141
40,983.368,0.70881,0.33948,0.0077,0.97023,0.96274,0.97369,0.84253,0.56695,0.28348,0.00689,0.000877263,0.000877263,0.000877263
41,1003.44,0.71004,0.34899,0.00779,0.96995,0.96336,0.97859,0.85549,0.54957,0.26983,0.00684,0.000863116,0.000863116,0.000863116
42,1023.29,0.70636,0.3369,0.00778,0.95794,0.96142,0.97661,0.84484,0.57276,0.28493,0.00696,0.000848969,0.000848969,0.000848969
43,1043.08,0.6847,0.33253,0.00734,0.96279,0.97544,0.97741,0.84914,0.57028,0.26994,0.0069,0.000834822,0.000834822,0.000834822
44,1063.42,0.68544,0.33249,0.00737,0.96868,0.9632,0.97734,0.85173,0.56206,0.28509,0.00683,0.000820675,0.000820675,0.000820675
45,1083.28,0.6782,0.32143,0.00746,0.97022,0.96084,0.97738,0.85218,0.56029,0.29159,0.00675,0.000806528,0.000806528,0.000806528
46,1103.18,0.68074,0.32231,0.00751,0.96373,0.96474,0.97559,0.86021,0.54334,0.27811,0.00661,0.00079238,0.00079238,0.00079238
47,1123.12,0.6633,0.31816,0.00718,0.97408,0.97113,0.98104,0.85736,0.5458,0.26428,0.00667,0.000778233,0.000778233,0.000778233
48,1142.85,0.66011,0.31389,0.00721,0.96908,0.9622,0.97587,0.85476,0.53502,0.2942,0.00655,0.000764086,0.000764086,0.000764086
49,1162.54,0.64078,0.30523,0.00692,0.96636,0.9697,0.97711,0.85766,0.54794,0.27859,0.00669,0.000749939,0.000749939,0.000749939
50,1182.63,0.65445,0.30385,0.00702,0.96937,0.96305,0.9758,0.8504,0.55609,0.27417,0.00679,0.000735792,0.000735792,0.000735792
51,1202.86,0.64331,0.30233,0.00691,0.95933,0.96692,0.97711,0.84658,0.56854,0.27922,0.00697,0.000721645,0.000721645,0.000721645
52,1224.57,0.64193,0.30742,0.00694,0.9662,0.9605,0.9713,0.84813,0.55686,0.2956,0.00667,0.000707498,0.000707498,0.000707498
53,1248.06,0.63122,0.29524,0.00685,0.97232,0.95927,0.97561,0.84947,0.54507,0.28071,0.00669,0.000693351,0.000693351,0.000693351
54,1268.36,0.62771,0.2945,0.00689,0.96395,0.96683,0.97853,0.85608,0.54558,0.28415,0.00664,0.000679204,0.000679204,0.000679204
55,1288.66,0.62111,0.27866,0.00675,0.97539,0.95991,0.97304,0.8579,0.53059,0.29092,0.00647,0.000665057,0.000665057,0.000665057
56,1309.18,0.61179,0.28672,0.00668,0.9647,0.96476,0.96915,0.84663,0.55591,0.2909,0.0069,0.000650909,0.000650909,0.000650909
57,1329.5,0.63474,0.29926,0.00688,0.97046,0.96179,0.97137,0.85107,0.55904,0.29291,0.00685,0.000636762,0.000636762,0.000636762
58,1349.77,0.59569,0.27423,0.00636,0.96751,0.96191,0.9723,0.85483,0.54193,0.29536,0.00657,0.000622615,0.000622615,0.000622615
59,1370.11,0.6003,0.28621,0.00654,0.96676,0.96628,0.97414,0.85462,0.54747,0.29538,0.00668,0.000608468,0.000608468,0.000608468
60,1390.49,0.59833,0.28273,0.00647,0.9714,0.96518,0.97027,0.85393,0.53689,0.29906,0.00649,0.000594321,0.000594321,0.000594321
61,1411.57,0.58443,0.27656,0.00637,0.97078,0.96659,0.97536,0.85398,0.53924,0.28269,0.00656,0.000580174,0.000580174,0.000580174
